date,gz_spread,ebp,est_prob
1973-01-01,1.1307714053429057,-0.04109846866818034,0.19531462194620924
1973-02-01,1.075493276125443,-0.05457928853816796,0.19076890136529415
1973-03-01,1.0299678416836435,-0.14836712098988736,0.16096925192086073
1973-04-01,0.9827458103604768,-0.2096955458729004,0.1432223880018862
1973-05-01,1.0464935117518377,-0.09277883654568075,0.17824474841232937
1973-06-01,1.1859257759641768,0.02564859236570171,0.2187748697830801
1973-07-01,0.9810549739577188,-0.3369257871221153,0.11075486818265262
1973-08-01,0.9777605050840718,-0.2266965122602721,0.13854608796342932
1973-09-01,0.8188236781169651,-0.36744559994058035,0.10382001618483948
1973-10-01,1.273250254171703,0.10625144623506633,0.24915628432453185
1973-11-01,1.3537449558224253,0.04519129574353386,0.2259388991844488
1973-12-01,1.2959694168479592,-0.01796123520651726,0.2032682660749648
1974-01-01,1.1784210232542267,-0.05498165775612684,0.1906342282411671
1974-02-01,1.3067144792396042,0.14420531955476457,0.26420306166965624
1974-03-01,1.220038714401003,-0.1008121976183134,0.17567838718977968
1974-04-01,1.2539698576113811,0.07964782956619931,0.23888749524612035
1974-05-01,1.3012385977617122,0.09152906142252036,0.2434447353611619
1974-06-01,1.9017877205835212,0.75304275365512785,0.5472821627889041
1974-07-01,2.568696915547139,1.2827465275374552,0.7795439596531218
1974-08-01,2.1264243722076457,0.9323113661135892,0.6328482602413702
1974-09-01,2.381902491150801,1.0128930719076863,0.6695137331913166
1974-10-01,2.5524795103497766,1.1338562143124304,0.7215420964311177
1974-11-01,2.356853811556149,1.0827534284057985,0.7000489706983811
1974-12-01,2.661212477979876,1.2269062257915235,0.7586406378295146
1975-01-01,1.7337713333806513,0.3932308447643844,0.37297325223045985
1975-02-01,1.649526368358294,0.4061766544718728,0.3790192405662181
1975-03-01,1.8961250416029105,0.6070863748215041,0.47575245401131305
1975-04-01,1.5567123308218438,0.2511791511635746,0.30896071269649994
1975-05-01,1.606921254453593,0.36701084576794374,0.3608246971635622
1975-06-01,1.461922207470538,0.2582446059086063,0.31203029584894776
1975-07-01,1.4884824580177884,0.38147824395140795,0.3675114377943083
1975-08-01,1.300847928813233,0.1284262413834707,0.25789172578408104
1975-09-01,1.4186685311342824,0.30345457807779974,0.3319743262538305
1975-10-01,1.3607284327062037,0.1213633265534786,0.25509225088482185
1975-11-01,1.329823154039846,0.18572084231166475,0.28117593376254224
1975-12-01,1.2541786335635057,-0.02510707632164432,0.20079142291296312
1976-01-01,0.9979908878131896,-0.15848704631514987,0.1579459199916463
1976-02-01,1.0617339891598505,-0.0769735424544904,0.1833625185273117
1976-03-01,1.011120581271097,-0.12075331900905306,0.16940972359995765
1976-04-01,1.0521076518505803,-0.06288491681157549,0.1880008476401218
1976-05-01,1.0237351420087335,-0.1188376355934031,0.17000562638292585
1976-06-01,1.0197788832302777,-0.05348571773842581,0.19113521476587128
1976-07-01,0.9837099912897176,-0.09307809247346654,0.17814872558644182
1976-08-01,0.9120648551648856,-0.1737145837528108,0.15346740088050206
1976-09-01,0.8550532640032931,-0.21339965455212215,0.1421945575581449
1976-10-01,0.9219118941699904,-0.1502791795941989,0.1603951482694223
1976-11-01,0.8555867249993263,-0.3789754781987573,0.1012838655686304
1976-12-01,1.1083337127370156,-0.04564685244766897,0.1937736064539574
1977-01-01,0.9877198594648672,-0.3170275921617375,0.115451376845541
1977-02-01,0.9379016261616826,-0.20672337341490457,0.14405073796975928
1977-03-01,0.9231957678701688,-0.17775157571773692,0.15229433951570986
1977-04-01,0.8633616214622895,-0.24490764431055845,0.13365353087907494
1977-05-01,0.8099849739276472,-0.254996655786089,0.1309947877444055
1977-06-01,0.8512871905637213,-0.26355186068830594,0.12876906069615532
1977-07-01,0.8767822191117481,-0.1849210068287984,0.1502257690023234
1977-08-01,0.9251361350888264,-0.19283287314114972,0.1479648202712845
1977-09-01,0.9449811605505964,-0.144916383668107,0.16200874055972422
1977-10-01,0.9310095841986336,-0.15808437339126036,0.15806550179082268
1977-11-01,0.9339801709741394,-0.14146147019961852,0.16305385767772437
1977-12-01,0.7853049470875838,-0.33992762132620624,0.11005841179978304
1978-01-01,0.7587030375251503,-0.34179095398648196,0.10962768309613036
1978-02-01,0.7141317271766402,-0.34877558830210564,0.10802388626434813
1978-03-01,0.7198637386015847,-0.3446328740829814,0.10897307661565052
1978-04-01,0.7353117681645004,-0.29147590856915706,0.12168746651751214
1978-05-01,0.7776714269052935,-0.25164228575230874,0.13187467475776676
1978-06-01,0.6222007182807374,-0.45930512076422425,0.08485688108556155
1978-07-01,0.6187085690170846,-0.3767290005506933,0.10177443410465914
1978-08-01,0.5981373777490661,-0.4054166691759006,0.09563884331647418
1978-09-01,0.6381015099065186,-0.33165693818716724,0.11198492051468366
1978-10-01,0.5641497987359325,-0.5046684581134266,0.0765095193862331
1978-11-01,0.6759448970423942,-0.2535605434692343,0.1313709974981101
1978-12-01,0.6532541104105585,-0.38604171289165734,0.09975203182263928
1979-01-01,0.702604369050579,-0.26579848994630395,0.1281889513984022
1979-02-01,0.6671887115386741,-0.32627408985472506,0.11325164216065609
1979-03-01,0.6587889110623049,-0.1919360348689978,0.1482199561525322
1979-04-01,0.6687966878187225,-0.22652199166563525,0.13859355705457213
1979-05-01,0.7217913940558555,-0.25638138232302865,0.1306327447558202
1979-06-01,0.7660561848487495,-0.1652314303176443,0.1559518712286289
1979-07-01,0.6711907137257954,-0.2565590448155929,0.13058634422053414
1979-08-01,0.6016968629727698,-0.34120619887802695,0.10976272480261257
